name,group,groupStr,delayVar,ss,beha,beha_Bnorm
dmss14,1,Young,-0.185019125860509,2,0.875,0.949770956584271
dmss15,1,Young,-0.0701710628585027,2,0.916666666666667,0.959561772577168
dmss16,1,Young,0.129692627434596,2,0.9375,0.965138173049478
dmss17,1,Young,-0.408789034047587,2,0.925,0.961718122104916
dmss19,1,Young,0.107364560336777,2,0.895833333333333,0.954494914572728
dmss20,1,Young,-0.0052247649325802,2,0.75,0.924857646365868
dmss21,1,Young,-0.161737852529904,2,0.904166666666667,0.9564732718493
dmss22,1,Young,-0.0588570269705116,2,0.916666666666667,0.959561772577168
dmss25,1,Young,0.024455190927141,2,0.829166666666667,0.940150091967862
dmss26,1,Young,-0.23077069380008,2,0.85,0.944418903983773
dmss27,1,Young,-0.132537259295528,2,0.9,0.955476826902325
dmss29,1,Young,-0.0623139972836525,2,0.85,0.944418903983773
dmss01,1,Young,-0.0264917358969361,4,0.845833333333333,0.943553064421943
dmss02,1,Young,-0.231520331549483,4,0.783333333333333,0.931166635809795
dmss03,1,Young,-0.646494263017683,4,0.8875,0.952570722423167
dmss06,1,Young,-0.22475605178008,4,0.683333333333333,0.912493729082125
dmss07,1,Young,-0.0997493910289337,4,0.758333333333333,0.926422685779053
dmss08,1,Young,-0.257916650365542,4,0.891666666666667,0.953526519088086
dmss11,1,Young,-0.652759271320825,4,0.845833333333333,0.943553064421943
dmss13,1,Young,-0.513045398411877,4,0.933333333333333,0.963970086051883
dmss14,1,Young,-0.35470328098296,4,0.8125,0.936828988937385
dmss15,1,Young,-0.340594010966278,4,0.8875,0.952570722423167
dmss16,1,Young,0.292485595421681,4,0.908333333333333,0.957485378303391
dmss17,1,Young,-0.887800285858987,4,0.95,0.968852256287683
dmss19,1,Young,-0.307153267250868,4,0.854166666666667,0.945291498484327
dmss20,1,Young,-0.199857686641257,4,0.820833333333333,0.938480412827626
dmss21,1,Young,-0.117853556071882,4,0.8,0.934381928266896
dmss22,1,Young,-0.605498601639702,4,0.870833333333333,0.948857922625471
dmss25,1,Young,-0.0263862741725604,4,0.779166666666667,0.930370061428744
dmss26,1,Young,-0.37356105780264,4,0.779166666666667,0.930370061428744
dmss27,1,Young,-0.232583653675947,4,0.870833333333333,0.948857922625471
dmss29,1,Young,-0.000476736797194366,4,0.783333333333333,0.931166635809795
DMSS030,2,Old,0.239011019358013,1,0.933333333333333,0.963970086051883
DMSS031,2,Old,-0.33516617255071,1,0.920833333333333,0.960629072810959
DMSS032,2,Old,-0.516028882141186,1,0.956521739130435,0.970947276460484
DMSS036,2,Old,-0.330316095521021,1,0.941666666666667,0.966338519841875
DMSS037,2,Old,-0.0796176601301063,1,0.930612244897959,0.963223088023762
DMSS038,2,Old,-0.425318572288128,1,0.908333333333333,0.957485378303391
DMSS039,2,Old,-0.0457659180180075,1,0.983333333333333,0.981718121931733
DMSS040,2,Old,-0.0479215092745509,1,0.929166666666667,0.962830995864742
DMSS041,2,Old,-0.236845512489695,1,0.770833333333333,0.928784458472606
DMSS046,2,Old,-0.696266558011078,1,0.895833333333333,0.954494914572728
DMSS050,2,Old,-0.06632736766465,1,0.9625,0.97299265494076
DMSS051,2,Old,0.244281326565258,1,0.941666666666667,0.966338519841875
DMSS052,2,Old,-0.387158800217941,1,0.945833333333333,0.967574997578213
DMSS053,2,Old,-0.235795126074651,1,0.991666666666667,0.98677525434568
DMSS054,2,Old,-0.0679626532383604,1,0.933333333333333,0.963970086051883
DMSS055,2,Old,0.137143160314516,1,0.9625,0.97299265494076
DMSS056,2,Old,-0.246030338165972,1,0.9125,0.958514406871778
DMSS057,2,Old,-0.186853412838857,1,0.933333333333333,0.963970086051883
DMSS058,2,Old,-0.735005589027672,1,0.879166666666667,0.950693667458023
DMSS059,2,Old,-0.569071881256425,1,0.8125,0.936828988937385
DMSS061,2,Old,-0.239367861013266,1,0.745192307692308,0.923957707318025
DMSS030,2,Old,0.0476370703288415,2,0.770833333333333,0.928784458472606
DMSS031,2,Old,-0.646578160989296,2,0.845833333333333,0.943553064421943
DMSS032,2,Old,-1.07028249504959,2,0.875,0.949770956584271
DMSS036,2,Old,-1.18031191462158,2,0.8625,0.947058589203241
DMSS037,2,Old,-0.177316733093089,2,0.814516129032258,0.937226959649418
DMSS038,2,Old,-0.163266653847597,2,0.854166666666667,0.945291498484327
DMSS039,2,Old,-0.12954191284088,2,0.9,0.955476826902325
DMSS040,2,Old,0.0297470367673001,2,0.8125,0.936828988937385
