name,csvFile,rawEEG,group,groupStr,exclude,cleanTrial,oriN,cleanRatio,s1_acc,s2_acc,s3_acc,s1_rt,s2_rt,s3_rt,avg_acc,avg_rt
dmss02,dmss02_dms_ss_vv_v8_2_2020_Feb_13_1036.csv,1,1,Young,0,613,720,0.851388888888889,0.925,0.895833333333333,0.783333333333333,0.560180454502093,0.615954172058135,0.677658904865195,0.868055555555555,0.617931177141808
dmss03,dmss03_dms_ss_vv_v8_2_2020_Feb_15_1626.csv,1,1,Young,0,471,720,0.654166666666667,0.904166666666667,0.945833333333333,0.8875,0.478318456602107,0.624028974893449,0.669318667154157,0.9125,0.590555366216571
dmss06,dmss06_dms_ss_vv_v8_2_2020_Feb_24_1529.csv,1,1,Young,0,664,720,0.922222222222222,0.829166666666667,0.8125,0.683333333333333,0.807127060020008,0.937357628650057,0.962438934771865,0.775,0.902307874480643
dmss07,dmss07_dms_ss_vv_v8_2_2020_Feb_21_1055.csv,1,1,Young,0,504,720,0.7,0.8125,0.8125,0.758333333333333,0.694761087837531,0.777996747826154,0.816557760140455,0.794444444444444,0.76310519860138
dmss08,dmss08_dms_ss_vv_v8_2_2020_Feb_23_1427.csv,1,1,Young,0,538,720,0.747222222222222,0.9625,0.925,0.891666666666667,0.513796115723158,0.58976222545607,0.620167847063082,0.926388888888889,0.57457539608077
dmss11,dmss11_dms_ss_vv_v8_2020_Feb_20_1136.csv,1,1,Young,0,656,720,0.911111111111111,0.95,0.895833333333333,0.845833333333333,0.543383317639234,0.602801825009937,0.650471090540679,0.897222222222222,0.598885411063283
dmss13,dmss13_dms_ss_vv_v8_2020_Feb_28_1225.csv,1,1,Young,0,632,720,0.877777777777778,0.9875,0.966666666666667,0.933333333333333,0.558093607295784,0.600037268721416,0.685095256482277,0.9625,0.614408710833159
dmss14,dmss14_dms_ss_vv_v8_2020_Mar_06_1234.csv,1,1,Young,0,588,720,0.816666666666667,0.929166666666667,0.875,0.8125,0.873385786603435,0.891912375481227,0.894775279686655,0.872222222222222,0.886691147257106
dmss15,dmss15_dms_ss_vv_v8_2_2020_Feb_28_1052.csv,1,1,Young,0,506,718,0.704735376044568,0.929166666666667,0.916666666666667,0.8875,0.542077547061464,0.651092900016907,0.676754984292867,0.911111111111111,0.623308477123746
dmss16,dmss16_dms_ss_vv_v8_2_2020_Mar_04_1920.csv,1,1,Young,0,578,720,0.802777777777778,0.979166666666667,0.9375,0.908333333333333,0.732397550000063,0.775474449099387,0.812819595814095,0.941666666666667,0.773563864971182
dmss17,dmss17_dms_ss_vv_v8_2_2020_Mar_02_1519.csv,1,1,Young,0,560,716,0.782122905027933,0.9875,0.925,0.95,0.685907176419723,0.75677809213273,0.785352283704718,0.954166666666667,0.742679184085724
dmss19,dmss19_dms_ss_vv_v8_2020_Mar_05_1206.csv,1,1,Young,0,440,720,0.611111111111111,0.970833333333333,0.895833333333333,0.854166666666667,0.544121030973777,0.637689013592376,0.673395382322214,0.906944444444444,0.618401808962789
dmss20,dmss20_dms_ss_vv_v8_2020_Mar_02_1439.csv,1,1,Young,0,629,718,0.876044568245125,0.841666666666667,0.75,0.820833333333333,0.628153796018152,0.754764406235402,0.812561399983959,0.804166666666667,0.731826534079171
dmss21,dmss21_dms_ss_vv_v8_2020_Feb_29_1419.csv,1,1,Young,0,626,720,0.869444444444444,0.904166666666667,0.904166666666667,0.8,0.602092593462233,0.757206076816858,0.747791153697395,0.869444444444444,0.702363274658829
dmss22,dmss22_dms_ss_vv_v8_2_2022_Dec_16_1353.csv,1,1,Young,0,524,720,0.727777777777778,0.9375,0.916666666666667,0.870833333333333,0.511969544859924,0.562796842396444,0.59650420673055,0.908333333333333,0.557090197995639
dmss25,dmss25_dms_ss_vv_v8_2_2020_Mar_07_1055.csv,1,1,Young,0,518,720,0.719444444444444,0.8875,0.829166666666667,0.779166666666667,0.915079848037624,0.960871679793411,0.906120088707808,0.831944444444444,0.927357205512948
dmss26,dmss26_dms_ss_vv_v8_2_2022_Dec_09_1417.csv,1,1,Young,0,633,720,0.879166666666667,0.933333333333333,0.85,0.779166666666667,0.568379157075029,0.613311731530092,0.654553882513689,0.854166666666667,0.612081590372937
dmss27,dmss27_dms_ss_vv_v8_2_2022_Dec_13_1011.csv,1,1,Young,0,591,720,0.820833333333333,0.95,0.9,0.870833333333333,0.445156424775075,0.503518241705713,0.575441065048208,0.906944444444444,0.508038577176332
dmss29,dmss29_dms_ss_vv_v8_2_2022_Dec_03_1411_1.csv,1,1,Young,0,567,720,0.7875,0.95,0.85,0.783333333333333,0.462219635585567,0.5449791128712,0.576541521505423,0.861111111111111,0.52791342332073
