beha,var,subj,ss,group,beha_Bnorm
0.991666666666667,0.972546702730666,34,1,2,0.98677525434568
0.933333333333333,2.33746893591579,35,1,2,0.963970086051883
0.9625,0.297601729393318,36,1,2,0.97299265494076
0.9125,0.583102588014042,37,1,2,0.958514406871778
0.933333333333333,-0.0149132956026831,38,1,2,0.963970086051883
0.879166666666667,-0.0604338128076352,39,1,2,0.950693667458023
0.8125,-0.225186707172146,40,1,2,0.936828988937385
0.745192307692308,0.103412901536292,41,1,2,0.923957707318025
0.920833333333333,0.538199899122071,1,2,1,0.960629072810959
0.895833333333333,0.388932381731013,2,2,1,0.954494914572728
0.945833333333333,0.774893644288396,3,2,1,0.967574997578213
0.8125,0.613299228003079,4,2,1,0.936828988937385
0.8125,0.324891914419834,5,2,1,0.936828988937385
0.925,1.00591486307504,6,2,1,0.961718122104916
0.895833333333333,0.536388219781116,7,2,1,0.954494914572728
0.966666666666667,0.251273472339161,8,2,1,0.974506006179803
0.875,0.728857071449534,9,2,1,0.949770956584271
0.916666666666667,-0.0367005170143893,10,2,1,0.959561772577168
0.9375,0.155881186618207,11,2,1,0.965138173049478
0.925,0.356000483212315,12,2,1,0.961718122104916
0.895833333333333,0.449078655638108,13,2,1,0.954494914572728
0.75,0.279639739803262,14,2,1,0.924857646365868
0.904166666666667,0.262072455171368,15,2,1,0.9564732718493
0.916666666666667,0.163971152260109,16,2,1,0.959561772577168
0.829166666666667,0.0465594831681703,17,2,1,0.940150091967862
0.85,-0.0641799356994674,18,2,1,0.944418903983773
0.9,0.0952072901602877,19,2,1,0.955476826902325
0.85,0.652574769523187,20,2,1,0.944418903983773
0.770833333333333,0.0330574141413866,21,2,2,0.928784458472606
0.845833333333333,0.568211441635826,22,2,2,0.943553064421943
0.875,0.654411493299319,23,2,2,0.949770956584271
0.8625,0.55458411703683,24,2,2,0.947058589203241
0.814516129032258,0.411245272350395,25,2,2,0.937226959649418
0.854166666666667,0.151853672086674,26,2,2,0.945291498484327
0.9,0.295329764282906,27,2,2,0.955476826902325
0.8125,0.166012872273275,28,2,2,0.936828988937385
0.729166666666667,0.099036441863408,29,2,2,0.920970935951146
0.816666666666667,1.05890087041496,30,2,2,0.937652543935743
0.875,-0.0866206178975784,31,2,2,0.949770956584271
0.808333333333333,-0.354819448746357,32,2,2,0.936009514144165
0.8875,0.268667267173578,33,2,2,0.952570722423167
0.933333333333333,0.949033029049501,34,2,2,0.963970086051883
0.916666666666667,2.58121983238249,35,2,2,0.959561772577168
0.883333333333333,0.108710199965656,36,2,2,0.951626691500835
0.845833333333333,0.694630641103271,37,2,2,0.943553064421943
0.8875,0.222465135218103,38,2,2,0.952570722423167
0.866666666666667,-0.075759255059189,39,2,2,0.947953980209921
0.80625,0.0753679452430356,40,2,2,0.935601237035816
0.701923076923077,-0.195059732531692,41,2,2,0.915925354049835
0.845833333333333,0.501700938718313,1,3,1,0.943553064421943
0.783333333333333,0.0979420649083084,2,3,1,0.931166635809795
0.8875,0.65930475024568,3,3,1,0.952570722423167
0.683333333333333,0.44379468486694,4,3,1,0.912493729082125
0.758333333333333,0.273406438882883,5,3,1,0.926422685779053
0.891666666666667,0.759844466021764,6,3,1,0.953526519088086
0.845833333333333,0.17230686649276,7,3,1,0.943553064421943
0.933333333333333,0.308321882944237,8,3,1,0.963970086051883
0.8125,0.616038255599341,9,3,1,0.936828988937385
0.8875,0.275287523809415,10,3,1,0.952570722423167
0.908333333333333,-0.0538578330520008,11,3,1,0.957485378303391
0.95,0.279938418146096,12,3,1,0.968852256287683
0.854166666666667,0.417335554633611,13,3,1,0.945291498484327
0.820833333333333,0.637684697331772,14,3,1,0.938480412827626
0.8,0.145852132205113,15,3,1,0.934381928266896
0.870833333333333,0.24628576074255,16,3,1,0.948857922625471
0.779166666666667,0.0221698400704571,17,3,1,0.930370061428744
0.779166666666667,0.0484657150391969,18,3,1,0.930370061428744
0.870833333333333,0.0231590476435529,19,3,1,0.948857922625471
0.783333333333333,0.295641943734207,20,3,1,0.931166635809795
0.766666666666667,-0.258143475718945,21,3,2,0.927995126563979
0.833333333333333,0.420886221028638,22,3,2,0.940992437995793
0.820652173913043,0.48721775445285,23,3,2,0.938444325530325
0.791666666666667,0.472694404910562,24,3,2,0.932768136006341
0.730612244897959,0.344826643192771,25,3,2,0.921239638791366
0.725,0.213568147713483,26,3,2,0.92019711655678
0.816666666666667,0.241875550124303,27,3,2,0.937652543935743
0.679166666666667,0.092964425768127,28,3,2,0.911724846365051
0.6625,0.193771093508923,29,3,2,0.90864769596275
0.741666666666667,0.537100128506438,30,3,2,0.923298995527597
0.795833333333333,0.0642746237037229,31,3,2,0.933573405002712
0.7375,-0.651651204741126,32,3,2,0.922521766832679
0.7625,0.305107991482113,33,3,2,0.927207914990863
0.870833333333333,0.581495739688333,34,3,2,0.948857922625471
0.883333333333333,2.2040242140194,35,3,2,0.951626691500835
0.820833333333333,0.0808297371928412,36,3,2,0.938480412827626
0.8,0.598293865847485,37,3,2,0.934381928266896
0.804166666666667,0.295866883575001,38,3,2,0.935193897619575
0.779166666666667,0.171325036278614,39,3,2,0.930370061428744
0.75625,-0.279881589710759,40,3,2,0.926030772770824
0.639423076923077,-0.0336520812115494,41,3,2,0.904375412183737
