beha,var,subj,ss,group,beha_Bnorm
0.875,-0.20578123477459,31,2,2,0.949673995364581
0.808333333333333,-0.192605570579563,32,2,2,0.935778339075967
0.8875,0.0450888883842405,33,2,2,0.952498783405452
0.933333333333333,0.471882047316316,34,2,2,0.963989481699087
0.883333333333333,0.415728526520985,36,2,2,0.951546415145811
0.845833333333333,0.252546360487056,37,2,2,0.943397579815642
0.8875,0.223458823483752,38,2,2,0.952498783405452
0.866666666666667,0.134968162830186,39,2,2,0.947840319799599
0.80625,-0.210596566587542,40,2,2,0.935365836365361
0.701923076923077,-0.0154006762586575,41,2,2,0.915473760537789
0.845833333333333,-0.189880975897114,1,3,1,0.943397579815642
0.783333333333333,0.376759385674933,2,3,1,0.930884570383723
0.8875,0.70639055439153,3,3,1,0.952498783405452
0.683333333333333,0.0615297193117694,4,3,1,0.912002336444696
0.758333333333333,-0.0639306814561771,5,3,1,0.926089261881522
0.891666666666667,0.361235981570308,6,3,1,0.953462913981322
0.845833333333333,0.204366254763704,7,3,1,0.943397579815642
0.933333333333333,0.3844343817424,8,3,1,0.963989481699087
0.8125,0.293984757444582,9,3,1,0.936606257612635
0.8875,0.219629926487187,10,3,1,0.952498783405452
0.908333333333333,0.1339772561104,11,3,1,0.957455068746818
0.95,-0.281968838372361,12,3,1,0.968904321648314
0.854166666666667,0.326862197330719,13,3,1,0.945152758287007
0.820833333333333,0.178144117754455,14,3,1,0.938274540854566
0.8,0.256922573364816,15,3,1,0.93413383513027
0.870833333333333,0.12242548597995,16,3,1,0.948752613692887
0.779166666666667,-0.0351497351937047,17,3,1,0.930079471670358
0.779166666666667,0.432150044178746,18,3,1,0.930079471670358
0.870833333333333,-0.124289304139629,19,3,1,0.948752613692887
0.783333333333333,0.286204697370498,20,3,1,0.930884570383723
0.766666666666667,0.20258402149037,21,3,2,0.927678880815064
0.833333333333333,0.012997616974633,22,3,2,0.940811791944263
0.820652173913043,-0.10030749324519,23,3,2,0.938238087428162
0.791666666666667,0.197874544171388,24,3,2,0.932503080738565
0.730612244897959,-0.0985279461009727,25,3,2,0.920848588321267
0.725,0.141390310259121,26,3,2,0.919794299917438
0.816666666666667,0.107154778795431,27,3,2,0.937438246813916
0.679166666666667,0.118016238405953,28,3,2,0.911224465943322
0.6625,0.0395602700103004,29,3,2,0.908111100978148
0.741666666666667,0.1256346300109,30,3,2,0.922931019337604
0.795833333333333,-0.125946537730978,31,3,2,0.933316836555704
0.7375,-0.613554043175268,32,3,2,0.922145108806955
0.7625,0.0075005975273154,33,3,2,0.926883087916428
0.870833333333333,0.377126315673554,34,3,2,0.948752613692887
0.820833333333333,0.00286985409451953,36,3,2,0.938274540854566
0.8,0.0555796603447738,37,3,2,0.93413383513027
0.804166666666667,0.115172106516129,38,3,2,0.93495426877801
0.779166666666667,0.127921754885303,39,3,2,0.930079471670358
0.75625,0.103616477539148,40,3,2,0.925693044493702
0.639423076923077,-0.0720160227088019,41,3,2,0.903787926569841
